DPM;APM;SR
120.5;44.9;11097
94.3;79.5;11235
100.3;80.1;11269
90.8;65;11274
122.9;75.2;11279
128;92.6;11279
95.6;71.7;11281
102.7;85.3;11294
135;71.5;11294
93;64.6;11296
125.3;93.7;11297
107.1;77.3;11297
80.2;54.8;11300
99.6;70.6;11300
102.8;81.3;11301
97.9;77.6;11313
83.2;51.9;11314
94.8;80.8;11317
84.7;64.4;11329
87.7;58.6;11339
91.8;47.3;11349
96.8;71.2;11349
137.2;104.1;11393
140.9;131.5;11483
98.2;77.4;11493
155.3;131;11510
110.4;73.5;11523
102.1;80.2;11547
87.8;39.3;11547
107.7;76.2;11547
105.2;87.1;11547
104.6;71.7;11616
106.8;69.9;11639
114;80.6;11700
121.2;93.4;11725
114.8;75.4;11780
111.7;76.6;11837
106.5;80.1;11837
86.2;57.1;11842
92.7;81.8;11842
110.9;74.2;11860
95.1;88.5;11863
107.5;87.3;11924
99.9;70.7;11947
105.2;75.1;11965
104.9;61.5;11970
100.4;83.5;12019
103.9;80.8;12035
105.8;78.6;12035
101.8;82;12035
102.8;76.3;12051
108.4;77.6;12056
104.8;80.2;12076
94.5;74.5;12083
94.8;72.3;12280
117.7;78.8;12293
112.4;104.1;12427
108.1;93.1;12453
108.6;80.3;12463
101.1;70.8;12521
107.7;85.5;12587
104;87;12598
104;70.5;12605
104.7;74.6;12605
113.9;93.7;12616
102;71.4;12725
125.3;88.2;12728
104.5;73.3;12732
109.7;90.3;12786
97.2;90.8;12793
130.8;103;12945
134.5;102;13187
128.2;102.2;13191
97;74.6;13235
102.2;90.3;13236
110.4;78.3;13379
95.8;80.3;13379
111.2;90.9;13379
113.2;86.4;13379
136.6;82.8;13379
109.2;91.5;13608
114.7;88.1;13610
110.3;93.8;13644
101.7;84.3;13646
97.3;64.3;13679
102.5;60;13679
102.8;68.5;13679
142.8;104.9;14554
130.2;107.8;14554
127.9;109.1;14555
112.8;111.7;14677
115.2;118.8;14677
119.2;91.9;14678
152.3;91;16069
152;117.8;16069
129;115.7;16482
136.7;107.7;16482
162.3;114.6;16944
152.5;134.8;16944
155.2;125.7;16944
159.2;123.4;16944
154.6;130.9;16944
154.1;117.5;16944
157.9;142.4;16944
155.4;122.5;16946
149.6;111.7;16946
150.7;120.2;16947
159.2;124.2;16947
153;126.9;16949
